,cam_no,cam_time,class,confidence
0,client_1_49_206_199_97_25004_cam_5,1669759432,nofire,97.53461480140686
1,client_1_49_206_199_97_25004_cam_4,1669759432,nofire,97.96914458274841
2,client_1_49_206_199_97_25004_cam_2,1669759433,nofire,96.97751998901367
3,client_1_49_206_199_97_25004_cam_1,1669759433,nofire,95.3411340713501
4,client_1_49_206_199_97_25004_cam_3,1669759433,nofire,99.6070384979248
5,client_1_49_206_199_97_25004_cam_5,1669759449,nofire,97.66935706138611
6,client_1_49_206_199_97_25004_cam_4,1669759449,nofire,97.8186547756195
7,client_1_49_206_199_97_25004_cam_1,1669759450,nofire,95.27177214622498
8,client_1_49_206_199_97_25004_cam_2,1669759450,nofire,97.18461036682129
9,client_1_49_206_199_97_25004_cam_3,1669759450,nofire,99.61750507354736
10,client_1_49_206_199_97_25004_cam_5,1669759466,nofire,97.48527407646179
11,client_1_49_206_199_97_25004_cam_4,1669759466,nofire,97.97271490097046
12,client_1_49_206_199_97_25004_cam_2,1669759467,nofire,97.05507755279541
13,client_1_49_206_199_97_25004_cam_1,1669759467,nofire,95.81639170646667
14,client_1_49_206_199_97_25004_cam_3,1669759467,nofire,99.66110587120056
15,client_1_49_206_199_97_25004_cam_5,1669759483,nofire,97.55076766014099
16,client_1_49_206_199_97_25004_cam_4,1669759483,nofire,98.08897972106934
17,client_1_49_206_199_97_25004_cam_1,1669759484,nofire,95.39291858673096
18,client_1_49_206_199_97_25004_cam_2,1669759484,nofire,97.1886932849884
